"","EUR.USD","EUR.JPY","EUR.NZD","EUR.GBP","EUR.CHF","EUR.AUD","EUR.CAD","Index"
"45",1.11965,124.706,1.590186,0.870675,1.0898,1.504145,1.508012,92.0332873558784
"46",1.11813,124.475,1.582612,0.87298,1.08945,1.50149,1.50355,91.9218821817921
"47",1.11813,124.475,1.582612,0.87298,1.08945,1.50149,1.50355,91.9218821817921
"48",1.117475,124.39131,1.582075,0.870885,1.089805,1.501945,1.503306,91.8615094729336
"49",1.11546,123.769635,1.57844,0.868715,1.089905,1.49816,1.502569,91.6626090151587
"50",1.120115,124.146885,1.578494,0.87236,1.089465,1.503735,1.509198,91.9337515641958
"51",1.122925,124.76215,1.587869,0.87226,1.08881,1.517595,1.515657,92.2613984988493
"52",1.123745,124.92686,1.583554,0.872715,1.08859,1.518215,1.518544,92.294125917618
"53",1.128265,124.587,1.580094,0.875215,1.086015,1.51589,1.521392,92.3202872423483
"54",1.128265,124.587,1.580094,0.875215,1.086005,1.51589,1.521404,92.3202959908896
"55",1.126195,124.45793,1.578486,0.87361,1.086145,1.50867,1.51846,92.1528965377921
"56",1.126385,123.593095,1.571474,0.87262,1.085495,1.50347,1.516424,91.9248599387027
"57",1.125845,123.24902,1.566078,0.871435,1.08514,1.4928,1.515984,91.7220987659886
"58",1.12389,123.564625,1.559572,0.86793,1.085835,1.489775,1.51814,91.6095394476409
"59",1.119185,123.452935,1.552924,0.87856,1.08521,1.48576,1.510004,91.6139092509293
"60",1.11959,123.514,1.552314,0.87852,1.08528,1.48686,1.50773,91.6100917100464
"61",1.11959,123.514,1.552314,0.87852,1.08528,1.48686,1.50773,91.6100917100464
"62",1.120855,123.363935,1.556808,0.88202,1.085525,1.487495,1.505527,91.7058569051424
"63",1.120305,123.26734,1.552024,0.882065,1.085085,1.48482,1.486528,91.4669600361542
"64",1.122715,123.30889,1.548466,0.879815,1.087385,1.48241,1.484027,91.4053675498815
"65",1.118315,123.04016,1.548666,0.877385,1.088275,1.472955,1.483036,91.1968257350954
"66",1.11681,124.018905,1.54472,0.874305,1.08818,1.468715,1.479399,91.1205400138141
"67",1.119635,124.14,1.54376,0.87613,1.090255,1.46945,1.479334,91.2233217081484
"68",1.119635,124.14,1.54376,0.87613,1.090255,1.46945,1.479334,91.2233217081484
"69",1.118465,124.311695,1.540999,0.87599,1.08878,1.469705,1.478868,91.1888586078088
"70",1.11456,124.364025,1.539256,0.878565,1.08673,1.46742,1.475716,91.1263909548628
"71",1.114155,124.06036,1.540932,0.88123,1.0855,1.473135,1.480902,91.2390214206199
"72",1.116205,124.1465,1.538129,0.881035,1.0856,1.478875,1.483598,91.3185872299269
"73",1.11735,124.339065,1.535486,0.87897,1.084405,1.477695,1.479578,91.2333535582968
"74",1.119375,124.561,1.53679,0.880085,1.085045,1.47919,1.485439,91.382173734146
"75",1.119375,124.561,1.53679,0.880085,1.085045,1.47919,1.485439,91.382173734146
"76",1.11925,124.78421,1.536302,0.878805,1.086455,1.4768,1.48295,91.3454432908714
"77",1.124485,125.880585,1.542165,0.881775,1.08816,1.48075,1.48689,91.7110354447958
"78",1.135885,127.4206,1.559853,0.883665,1.090515,1.49311,1.489764,92.3253085040634
"79",1.140995,128.18223,1.562322,0.87974,1.09298,1.488895,1.486043,92.3556471243691
"80",1.14233,128.05761,1.560017,0.878535,1.093835,1.486215,1.483047,92.2756405531648
"81",1.14252,128.409,1.557767,0.8771,1.094945,1.485945,1.481066,92.2588803301315
"82",1.14252,128.409,1.557767,0.8771,1.094945,1.485945,1.481066,92.2588803301315
"83",1.138925,128.49361,1.558389,0.87754,1.09459,1.48554,1.47919,92.2172128260767
"84",1.13565,128.563415,1.559166,0.87799,1.095145,1.48942,1.473454,92.1900523295755
"85",1.134485,128.505425,1.558712,0.877875,1.09521,1.49205,1.469862,92.1562475460169
"86",1.137065,128.71973,1.563384,0.878335,1.09607,1.497285,1.473238,92.3331323546233
"87",1.141095,129.73974,1.567696,0.882735,1.098035,1.50283,1.477382,92.7132706245611
"88",1.14001,129.868,1.565746,0.88479,1.09896,1.49927,1.467962,92.6428983325228
"89",1.14001,129.868,1.565746,0.88479,1.09896,1.49927,1.467962,92.6428983325228
"90",1.139851,130.093863,1.567538,0.884704,1.10029,1.499433,1.469484,92.7029242528414
"91",1.141916,130.363868,1.579838,0.887156,1.10352,1.498748,1.474307,92.9640070358987
"92",1.144394,129.731821,1.579338,0.889344,1.10301,1.493484,1.470069,92.8851901671723
